Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
boston-butt,Boston Butt,"<p>Pasture-raised pork that is slow-cook ready and ideal for pulled pork. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Pork,Pork,"pork, pasture-raised, local",TRUE,Title,Default Title,LBF-PORK-BUTT,454,,,deny,manual,8.50,TRUE,TRUE,FALSE,Boston Butt | Long Branch Farms,Pasture-raised Boston butt from Long Branch Farms.,lb,active
pork-chops,Pork Chops,"<p>Thick-cut chops from pasture-raised pork. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Pork,Pork,"pork, pasture-raised, local",TRUE,Title,Default Title,LBF-PORK-CHOPS,454,,,deny,manual,8.50,TRUE,TRUE,FALSE,Pork Chops | Long Branch Farms,Pasture-raised pork chops from Long Branch Farms.,lb,active
breakfast-sausage,Breakfast Sausage,"<p>House-seasoned breakfast sausage made from our pasture-raised hogs. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Pork,Pork,"pork, pasture-raised, local",TRUE,Title,Default Title,LBF-PORK-SAUSAGE,454,,,deny,manual,6.00,TRUE,TRUE,FALSE,Breakfast Sausage | Long Branch Farms,Pasture-raised breakfast sausage from Long Branch Farms.,lb,active
ham-steak,Ham Steak,"<p>Bone-in ham steak with rich flavor from naturally raised hogs. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Pork,Pork,"pork, pasture-raised, local",TRUE,Title,Default Title,LBF-PORK-HAM,454,,,deny,manual,8.00,TRUE,TRUE,FALSE,Ham Steak | Long Branch Farms,Pasture-raised ham steak from Long Branch Farms.,lb,active
pork-ribs,Pork Ribs,"<p>Flavorful ribs from pasture-raised pork, ready for low and slow cooking. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Pork,Pork,"pork, pasture-raised, local",TRUE,Title,Default Title,LBF-PORK-RIBS,454,,,deny,manual,8.00,TRUE,TRUE,FALSE,Pork Ribs | Long Branch Farms,Pasture-raised pork ribs from Long Branch Farms.,lb,active
shoulder-steak,Shoulder Steak,"<p>A versatile pasture-raised pork cut for grilling or braising. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Pork,Pork,"pork, pasture-raised, local",TRUE,Title,Default Title,LBF-PORK-SHOULDER,454,,,deny,manual,8.00,TRUE,TRUE,FALSE,Shoulder Steak | Long Branch Farms,Pasture-raised shoulder steak from Long Branch Farms.,lb,active
pork-tenderloin,Pork Tenderloin,"<p>A tender cut from pasture-raised pork. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Pork,Pork,"pork, pasture-raised, local",TRUE,Title,Default Title,LBF-PORK-TENDERLOIN,454,,,deny,manual,9.00,TRUE,TRUE,FALSE,Pork Tenderloin | Long Branch Farms,Pasture-raised pork tenderloin from Long Branch Farms.,lb,active
lard,Lard,"<p>Clean, flavorful cooking fat rendered from pasture-raised pork. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Pork,Pork,"pork, pasture-raised, local",TRUE,Title,Default Title,LBF-PORK-LARD,454,,,deny,manual,3.00,TRUE,TRUE,FALSE,Lard | Long Branch Farms,Rendered pasture pork lard from Long Branch Farms.,lb,active
ground-beef-bundle,5 lb Ground Beef Bundle,"<p>Five pounds of local grass-finished ground beef. Choose pickup or local delivery within about 45 miles.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Beef,Bundles,"beef, bundle, local delivery",TRUE,Fulfillment,Pickup or arranged meeting,LBF-BUNDLE-BEEF5-PICKUP,2268,,,deny,manual,40.00,TRUE,TRUE,FALSE,5 lb Ground Beef Bundle | Long Branch Farms,Five pounds of local ground beef for pickup or delivery.,lb,active
ground-beef-bundle,,,,,,,,Fulfillment,Local delivery within 45 miles,LBF-BUNDLE-BEEF5-DELIVERY,2268,,,deny,manual,50.00,TRUE,TRUE,,,,,lb,active
pork-bundle,10 lb Pork Bundle,"<p>Ten pounds of pasture-raised pork cuts. Choose pickup or local delivery within about 45 miles.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Pork,Bundles,"pork, bundle, local delivery",TRUE,Fulfillment,Pickup or arranged meeting,LBF-BUNDLE-PORK10-PICKUP,4536,,,deny,manual,70.00,TRUE,TRUE,FALSE,10 lb Pork Bundle | Long Branch Farms,Ten pounds of local pasture-raised pork for pickup or delivery.,lb,active
pork-bundle,,,,,,,,Fulfillment,Local delivery within 45 miles,LBF-BUNDLE-PORK10-DELIVERY,4536,,,deny,manual,80.00,TRUE,TRUE,,,,,lb,active
breakfast-bundle,Breakfast Bundle,"<p>A selection of Long Branch Farms breakfast favorites. Availability may vary.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs,Bundles,"pork, bundle, breakfast",TRUE,Title,Default Title,LBF-BUNDLE-BREAKFAST,0,,,deny,manual,35.00,TRUE,TRUE,FALSE,Breakfast Bundle | Long Branch Farms,A local farm breakfast bundle from Long Branch Farms.,lb,active
bulk-pork,Bulk Pork,"<p>Whole hog bulk pork at $4 per pound, including the processing fee. Contact us to arrange availability and fulfillment.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Pork,Bulk,"pork, bulk, local",TRUE,Title,Default Title,LBF-BULK-PORK,454,,,deny,manual,4.00,TRUE,TRUE,FALSE,Bulk Pork | Long Branch Farms,Whole hog bulk pork from Long Branch Farms.,lb,active
bulk-beef,Bulk Beef,"<p>Quarter, half, or whole bulk beef at $4 per pound, including the processing fee. Contact us to arrange availability and fulfillment.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Beef,Bulk,"beef, bulk, local",TRUE,Title,Default Title,LBF-BULK-BEEF,454,,,deny,manual,4.00,TRUE,TRUE,FALSE,Bulk Beef | Long Branch Farms,Quarter half or whole bulk beef from Long Branch Farms.,lb,active
eggs,Eggs,"<p>Farm-fresh eggs, available seasonally.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Eggs,Other,"eggs, local, seasonal",TRUE,Title,Default Title,LBF-EGGS-DOZEN,0,,,deny,manual,3.00,TRUE,TRUE,FALSE,Eggs | Long Branch Farms,Farm-fresh eggs from Long Branch Farms.,lb,active
